"index","user_id","age","registration_date","email","workout_frequency"
"0","1","56","2022-09-20T00:00:00.000","hi_1@example.com",""
"1","2","46","2020-06-21T00:00:00.000","hello_2@myemail.com","Minimal"
"2","3","32","2020-02-08T00:00:00.000","hello_3@email.com","Maximal"
"3","4","60","2023-02-25T00:00:00.000","user4@email.com","Maximal"
"4","5","25","2021-03-03T00:00:00.000","hi_5@email.com","minimal"
"5","6","38","2021-01-15T00:00:00.000","user_6@myemail.com","Regular"
"6","7","56","2020-12-12T00:00:00.000","hello_7@email.com","MAXIMAL"
"7","8","36","2020-08-04T00:00:00.000","hello_8@email.com","flexible"
"8","9","40","2023-02-18T00:00:00.000","hello_9@myemail.com","Flexible"
"9","10","28","2020-06-08T00:00:00.000","hello10@myemail.com","regular"
"10","11","28","2022-11-17T00:00:00.000","user_11@myemail.com","Minimal"
"11","12","41","2023-02-24T00:00:00.000","contact12@email.com","Maximal"
"12","13","53","2023-10-17T00:00:00.000","user_13@email.com","Flexible"
"13","14","57","2022-04-27T00:00:00.000","user14@example.com","flexible"
"14","15","41","2020-05-15T00:00:00.000","user15@myemail.com","MAXIMAL"
"15","16","20","2022-07-06T00:00:00.000","hello16@myemail.com","minimal"
"16","17","39","2021-10-17T00:00:00.000","hi17@email.com","flexible"
"17","18","19","2020-02-19T00:00:00.000","hi_18@email.com","Flexible"
"18","19","41","2020-02-16T00:00:00.000","contact19@email.com","flexible"
"19","20","61","2020-05-25T00:00:00.000","user20@example.com","Flexible"
"20","21","47","2020-12-05T00:00:00.000","contact_21@email.com",""
"21","22","55","2020-12-27T00:00:00.000","hi_22@example.com",""
"22","23","19","2022-02-24T00:00:00.000","contact_23@example.com","regular"
"23","24","38","2022-07-24T00:00:00.000","contact_24@example.com","Maximal"
"24","25","50","2020-02-11T00:00:00.000","hello_25@email.com","maximal"
"25","26","29","2022-05-21T00:00:00.000","hello_26@email.com","MAXIMAL"
"26","27","39","2020-11-04T00:00:00.000","contact_27@myemail.com","maximal"
"27","28","61","2023-01-17T00:00:00.000","hi_28@myemail.com","Regular"
"28","29","42","2022-10-06T00:00:00.000","contact_29@email.com","Regular"
"29","30","44","2022-12-25T00:00:00.000","user_30@myemail.com","Maximal"
"30","31","59","2022-04-26T00:00:00.000","hi_31@email.com","flexible"
"31","32","45","2021-10-13T00:00:00.000","contact32@example.com","regular"
"32","33","33","2020-12-08T00:00:00.000","user_33@myemail.com","Maximal"
"33","34","32","2021-11-28T00:00:00.000","hello34@example.com","Flexible"
"34","35","64","2022-07-04T00:00:00.000","hello35@email.com","Minimal"
"35","36","61","2021-03-08T00:00:00.000","user_36@email.com","regular"
"36","37","20","2023-06-11T00:00:00.000","user37@email.com","regular"
"37","38","54","2023-09-12T00:00:00.000","hello38@myemail.com","Flexible"
